episode,protein_idx,regime,ci,ef10,ci_roll100,ef10_roll100,mean_sigma,total_loss,nll,replay_loss,n_ctx,n_preds,w_nll,w_listnet,w_lambda
0,1646,warm,0.6006045949214026,1.8800000000000001,0.6006045949214026,1.8800000000000001,0.6011520624160767,8.621818542480469,3.381578207015991,10.330652236938477,1972,94,1.0,1.0,1.0
1,2365,warm,0.5094056519214903,0.8574401664932363,0.5550051234214465,1.3687200832466182,0.776379406452179,10.100708961486816,1.882816195487976,7.3566765785217285,397,1854,0.9998999834060669,0.9998999834060669,0.9998999834060669
2,6558,warm,0.5593376264949402,1.92,0.5564492911126111,1.5524800554977454,0.9773723483085632,5.731930732727051,1.1686220169067383,6.703513145446777,298,48,0.9998070001602173,0.999800980091095,0.999799907207489
3,3042,warm,0.5000445037828215,1.1136363636363635,0.5423480942801637,1.4427691325324,1.1929651498794556,7.353271961212158,1.3850655555725098,6.1884765625,2826,196,0.9997205138206482,0.9997044801712036,0.9996998310089111
4,5828,warm,0.45060137457044674,0.0,0.5239987503382204,1.15421530602592,1.3811637163162231,6.2846999168396,1.6270835399627686,5.970953464508057,2983,53,0.9996367692947388,0.999607264995575,0.9995999932289124
5,1912,warm,0.40452800764368985,0.3104508196721312,0.5040869598891319,1.0135878916336218,1.5176899433135986,9.264883041381836,2.1691133975982666,5.8483405113220215,5834,606,0.9995538592338562,0.9995111227035522,0.9995000958442688
6,3551,warm,0.4755529685681024,0.0,0.5000106754146991,0.8687896214002473,1.6730828285217285,6.593725204467773,1.495800495147705,5.611827850341797,184,82,0.9994695782661438,0.9994134306907654,0.9993999004364014
7,4886,warm,0.5751234831695173,3.480968858131488,0.5093997763840514,1.1953120259916523,1.7182165384292603,8.475152015686035,1.5641632080078125,5.768158435821533,31228,503,0.9993864893913269,0.999316394329071,0.9993006587028503
8,4795,warm,0.0718562874251497,1.0,0.4607838331663957,1.1736106897703575,1.7089250087738037,7.433629035949707,1.6054494380950928,5.122450351715088,13967,168,0.999303936958313,0.9992182850837708,0.9992008805274963
9,5424,warm,0.45795445537592666,0.6475104910036051,0.46050089538734873,1.1210006698936823,1.6997078657150269,11.164556503295898,1.9766156673431396,5.1701154708862305,44868,4928,0.9992214441299438,0.9991204142570496,0.9991016387939453
